treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	1.0708697057872616	2012	1.1217609361939258	1.0475232702275865
Control	1.0708697057872616	2013	1.06361061035282	0.9932213084419034
Control	1.0708697057872616	2014	1.174675472557504	1.0969359448766256
Control	1.0708697057872616	2015	1.269828616978876	1.18579189430459
Control	1.0708697057872616	2016	1.8396114664771381	1.7178667549706503
Control	1.0708697057872616	2017	1.9063077329110583	1.7801490906025914
Treatment	1.3960852043753598	2012	1.3663366336633664	0.9786914361539247
Treatment	1.3960852043753598	2013	1.4093376764386536	1.0094925954531717
Treatment	1.3960852043753598	2014	1.5085324232081911	1.0805446676753105
Treatment	1.3960852043753598	2015	1.725085910652921	1.2356594749707728
Treatment	1.3960852043753598	2016	2.135693215339233	1.5297728309460816
Treatment	1.3960852043753598	2017	2.2343032159264933	1.6004060561089974
