treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	1.2025165661529298	2012	1.2094616639477977	1.0057754695364294
Control	1.2025165661529298	2013	1.2432869621481721	1.03390422813523
Control	1.2025165661529298	2014	1.3918959782280012	1.1574859069766754
Control	1.2025165661529298	2015	1.5466705437627217	1.2861947912375156
Control	1.2025165661529298	2016	2.230006609385327	1.8544498031486798
Control	1.2025165661529298	2017	2.2129226648811517	1.8402429764112902
Treatment	1.4998297582567246	2012	1.5212464589235128	1.0142794210802173
Treatment	1.4998297582567246	2013	1.5256222547584188	1.0171969494268958
Treatment	1.4998297582567246	2014	1.6058732612055642	1.0707036931125407
Treatment	1.4998297582567246	2015	1.9897260273972603	1.3266345839876852
Treatment	1.4998297582567246	2016	2.484848484848485	1.6567536889897843
Treatment	1.4998297582567246	2017	2.5544354838709675	1.703150287429973
