treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.072414715955084	2012	11.101819051619275	1.0026556389386156
Control	11.072414715955084	2013	11.30298729489676	1.0208240555341037
Control	11.072414715955084	2014	11.164776934973698	1.0083416509756922
Control	11.072414715955084	2015	11.321896429447966	1.0225318252515763
Control	11.072414715955084	2016	11.728208337403396	1.0592276967826475
Control	11.072414715955084	2017	11.676585743160832	1.0545654261247235
Treatment	11.001376044466403	2012	10.800751203328987	0.9817636593525655
Treatment	11.001376044466403	2013	10.984738190100602	0.9984876569714051
Treatment	11.001376044466403	2014	11.533380520988985	1.0483579939793237
Treatment	11.001376044466403	2015	11.26385786801408	1.0238589993185174
Treatment	11.001376044466403	2016	12.123534750464637	1.1020016679243203
Treatment	11.001376044466403	2017	11.961129349599789	1.087239387259754
