treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.421972876142737	2012	11.514172018149052	1.0080720855325171
Control	11.421972876142737	2013	11.714591493000242	1.0256189206567548
Control	11.421972876142737	2014	11.490588026127247	1.0060072940750742
Control	11.421972876142737	2015	11.57190627099242	1.013126751085432
Control	11.421972876142737	2016	12.28969001163964	1.075969111895662
Control	11.421972876142737	2017	12.205625657997558	1.068609231553303
Treatment	11.41016057968257	2012	11.249718487604847	0.9859386648454875
Treatment	11.41016057968257	2013	11.628521627494347	1.0191374210982271
Treatment	11.41016057968257	2014	11.661616041467767	1.022037854772434
Treatment	11.41016057968257	2015	11.676738265747895	1.0233631844358093
Treatment	11.41016057968257	2016	12.214800829430196	1.0705196253925122
Treatment	11.41016057968257	2017	12.522142400825462	1.097455405064407
