treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.09185249645422128	2012	0.09386718910112386	1.0219339998875991
Control	0.09185249645422128	2013	0.09565234464854278	1.04136902469728
Control	0.09185249645422128	2014	0.0982372484527615	1.0695109250702004
Control	0.09185249645422128	2015	0.22120554862154104	2.4082693139623976
Control	0.09185249645422128	2016	0.2118133532454031	2.3060162915764577
Control	0.09185249645422128	2017	0.23845091808774782	2.596020002641848
Treatment	0.10826516677499966	2012	0.09140392316256692	0.8442597548713489
Treatment	0.10826516677499966	2013	0.0958393945377988	0.8852283462230791
Treatment	0.10826516677499966	2014	0.12688241707452577	1.171959743416062
Treatment	0.10826516677499966	2015	0.21647929724286347	1.9995285990069003
Treatment	0.10826516677499966	2016	0.2011826038648668	1.858239449101587
Treatment	0.10826516677499966	2017	0.2369881559395598	2.1889603369112858
