treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.13239993382222642	2012	0.12357989960162277	0.9333833940397106
Control	0.13239993382222642	2013	0.13031414508724026	0.9842463007739358
Control	0.13239993382222642	2014	0.13975927095983026	1.0555841451362449
Control	0.13239993382222642	2015	0.32937286087254974	2.487711672989196
Control	0.13239993382222642	2016	0.3107548120998125	2.347091898981335
Control	0.13239993382222642	2017	0.34756999243622344	2.625152312409054
Treatment	0.15930720251682923	2012	0.12999419697040746	0.815996985175073
Treatment	0.15930720251682923	2013	0.13996773031804452	0.8786026501423143
Treatment	0.15930720251682923	2014	0.18020334995947745	1.131168880706701
Treatment	0.15930720251682923	2015	0.32708821049281234	2.0531916029236577
Treatment	0.15930720251682923	2016	0.3018920636491696	1.8950308515854937
Treatment	0.15930720251682923	2017	0.32662414659619077	2.0502785902708083
