treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.183684689374184	2012	13.14127127095343	1.0785958112010556
Control	12.183684689374184	2013	11.286048224805569	0.9263247131344859
Control	12.183684689374184	2014	10.270161217580629	0.8429437792770191
Control	12.183684689374184	2015	9.114897687150782	0.7481232418219261
Control	12.183684689374184	2016	9.689884356689413	0.7953164090942291
Control	12.183684689374184	2017	12.45832649663872	1.0225417691171919
Treatment	7284.594078382885	2012	7423.994040485148	1.0191362704087978
Treatment	7284.594078382885	2013	7319.336040030416	1.0047692378289999
Treatment	7284.594078382885	2014	7260.144301905041	0.9966436322717832
Treatment	7284.594078382885	2015	7170.979400550959	0.9844034304987456
Treatment	7284.594078382885	2016	7123.156343941178	0.9778384721640463
Treatment	7284.594078382885	2017	7324.8049882155465	1.0055199932075816
