treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.410807896304933	2012	12.905472771989645	1.1309867705483603
Control	11.410807896304933	2013	11.816400879062158	1.0355446333373612
Control	11.410807896304933	2014	10.798277358257286	0.9463201428317799
Control	11.410807896304933	2015	10.451161024361488	0.9159001815941359
Control	11.410807896304933	2016	11.808910377189932	1.0348881941141006
Control	11.410807896304933	2017	15.238157972531882	1.3354144694230046
Treatment	7291.74244868051	2012	7410.106208690279	1.0162325755253723
Treatment	7291.74244868051	2013	7273.79967391443	0.9975393021774477
Treatment	7291.74244868051	2014	7307.800970349026	1.0022022886548088
Treatment	7291.74244868051	2015	7300.8350322004635	1.0012469699230255
Treatment	7291.74244868051	2016	7104.052654137959	0.974259952835208
Treatment	7291.74244868051	2017	7287.951071836391	0.9994800451509631
