treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.039126332651634	2012	14.263881917166547	1.1847937734884544
Control	12.039126332651634	2013	13.145342943444604	1.0918851235735247
Control	12.039126332651634	2014	11.37500179631214	0.9448361518943195
Control	12.039126332651634	2015	12.962693746250942	1.0767138235848956
Control	12.039126332651634	2016	12.971022088141165	1.0774055965308804
Control	12.039126332651634	2017	17.530363806911986	1.4561159441750704
Treatment	7285.4617731055405	2012	7484.09127765634	1.027263818099224
Treatment	7285.4617731055405	2013	7328.627223668906	1.0059248750330023
Treatment	7285.4617731055405	2014	7330.455697638423	1.0061758507468914
Treatment	7285.4617731055405	2015	7411.597953710321	1.0173134091610248
Treatment	7285.4617731055405	2016	7415.903667646641	1.0179044099884829
Treatment	7285.4617731055405	2017	7435.714619519766	1.0206236544907679
