treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	15.448475857536247	2012	17.370531501221883	1.12441716978494
Control	15.448475857536247	2013	15.564258396258477	1.0074947548088213
Control	15.448475857536247	2014	13.25249027016254	0.8578509875262266
Control	15.448475857536247	2015	12.177501586235511	0.7882655673307052
Control	15.448475857536247	2016	12.38661332800278	0.8018016432320217
Control	15.448475857536247	2017	21.251651136647396	1.3756471080142305
Treatment	7268.528937096156	2012	7453.561761128314	1.0254567087279258
Treatment	7268.528937096156	2013	7286.000529395978	1.0024037315460976
Treatment	7268.528937096156	2014	7364.33491949553	1.013180931551419
Treatment	7268.528937096156	2015	7425.681484636807	1.0216209564412129
Treatment	7268.528937096156	2016	7563.304272008793	1.0405550197933726
Treatment	7268.528937096156	2017	7541.467932735657	1.0375507888874886
