treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.469959504581619	2012	11.468287753026516	0.9998542495678006
Control	11.469959504581619	2013	11.623064476727619	1.0133483446114036
Control	11.469959504581619	2014	11.787947611402808	1.0277235596772745
Control	11.469959504581619	2015	11.966552546053963	1.0432950998017023
Control	11.469959504581619	2016	12.323048248410684	1.0743759159296338
Control	11.469959504581619	2017	12.312675358352886	1.0734715631240588
Treatment	11.194392274677789	2012	11.428581793823659	1.0209202530516657
Treatment	11.194392274677789	2013	11.408575509818236	1.0191330828762308
Treatment	11.194392274677789	2014	11.420478801786189	1.020196409198543
Treatment	11.194392274677789	2015	12.027386439707966	1.074411736214966
Treatment	11.194392274677789	2016	12.135835738732261	1.0840995599362782
Treatment	11.194392274677789	2017	12.376085253428409	1.1055611550636528
