treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.321623814704248	2012	11.562647557943805	1.0212887963055726
Control	11.321623814704248	2013	11.661997958242033	1.0300640746511747
Control	11.321623814704248	2014	11.659462117165202	1.0298400925512272
Control	11.321623814704248	2015	11.783564204574247	1.0408016020873299
Control	11.321623814704248	2016	12.146165322744896	1.0728289087798302
Control	11.321623814704248	2017	12.159227952075854	1.073982685794925
Treatment	11.277634115881396	2012	11.67538232738913	1.0352687635917908
Treatment	11.277634115881396	2013	11.59371970509552	1.028027650654937
Treatment	11.277634115881396	2014	11.453902745833284	1.0156299298364062
Treatment	11.277634115881396	2015	11.907810006317423	1.0558783769681443
Treatment	11.277634115881396	2016	12.098054984821124	1.0727476047289382
Treatment	11.277634115881396	2017	12.337268013783632	1.093958882422869
