treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.78067515391769	2012	11.865671876736748	1.007214927982357
Control	11.78067515391769	2013	11.97134918798098	1.0161853231306426
Control	11.78067515391769	2014	12.088761943095253	1.026151878831419
Control	11.78067515391769	2015	12.25987719240612	1.0406769588523177
Control	11.78067515391769	2016	12.60653271230059	1.0701027358443254
Control	11.78067515391769	2017	12.717216329384927	1.079498090154518
Treatment	11.608961766135991	2012	11.903729486331263	1.0253913938329202
Treatment	11.608961766135991	2013	11.81650069348255	1.0178774753098043
Treatment	11.608961766135991	2014	11.744373437178517	1.0116644083915867
Treatment	11.608961766135991	2015	12.197720208968848	1.050715856826258
Treatment	11.608961766135991	2016	12.269863863842325	1.0569303363229452
Treatment	11.608961766135991	2017	12.600682526172656	1.085427170837066
