treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.32396767895257	2012	12.576740642453245	1.0205106804955657
Control	12.32396767895257	2013	12.713274043942208	1.0315893691975933
Control	12.32396767895257	2014	12.66787129581733	1.0279052676722038
Control	12.32396767895257	2015	12.45383096098299	1.0105374572064325
Control	12.32396767895257	2016	12.949010321315084	1.0507176469985384
Control	12.32396767895257	2017	13.094093666369313	1.0624901011978471
Treatment	12.556457123557154	2012	12.79445486649927	1.018954211414907
Treatment	12.556457123557154	2013	12.789105198056356	1.018528162220435
Treatment	12.556457123557154	2014	12.572958745831565	1.0013141941323125
Treatment	12.556457123557154	2015	13.043808521128376	1.0388128110322539
Treatment	12.556457123557154	2016	13.43193275318947	1.069723140931994
Treatment	12.556457123557154	2017	13.46421744758487	1.0722943036475368
