treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.183192892964424	2012	10.483435577166485	1.0294841399311505
Control	10.183192892964424	2013	10.278436055683521	1.009352976391609
Control	10.183192892964424	2014	10.066496255040649	0.9885402703110533
Control	10.183192892964424	2015	9.948029460955544	0.9769067094691534
Control	10.183192892964424	2016	9.539660028749626	0.936804411840277
Control	10.183192892964424	2017	9.026343661311039	0.8863962173934019
Treatment	10.509553532574442	2012	10.479109080583711	0.9971031640976595
Treatment	10.509553532574442	2013	10.342037244022956	0.9840605704103159
Treatment	10.509553532574442	2014	10.375647857240226	0.9872586713679916
Treatment	10.509553532574442	2015	10.314505052840902	0.9814408405524568
Treatment	10.509553532574442	2016	9.8288238467587	0.9352275352415481
Treatment	10.509553532574442	2017	10.235631679970677	0.9739359191848881
