treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.999833132422683	2012	0.9998179512701265	0.9999848163137786
Control	0.999833132422683	2013	0.9998261738716375	0.9999930402876042
Control	0.999833132422683	2014	0.9998388882859814	1.0000057568239258
Control	0.999833132422683	2015	0.9999211984898192	1.0000880807649601
Control	0.999833132422683	2016	0.9998484914942166	1.0000153616348924
Control	0.999833132422683	2017	0.9999006751701243	1.000067554020017
Treatment	0.9998469366971916	2012	0.9997743317971293	0.9999273839850906
Treatment	0.9998469366971916	2013	0.999885397225513	1.0000384664161182
Treatment	0.9998469366971916	2014	0.9998434719729826	0.9999965347453877
Treatment	0.9998469366971916	2015	0.9998619510962522	1.0000150166975659
Treatment	0.9998469366971916	2016	0.9999695747694071	1.0001226568464776
Treatment	0.9998469366971916	2017	0.9999305236503162	1.0000835997491784
