treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.9998910286307017	2012	0.9998660336542355	0.9999750022995002
Control	0.9998910286307017	2013	0.9998990205845579	1.0000079928248453
Control	0.9998910286307017	2014	0.9998918903772256	1.00000086184044
Control	0.9998910286307017	2015	0.9999277393821457	1.0000367147523008
Control	0.9998910286307017	2016	0.9999189417949801	1.0000279162063457
Control	0.9998910286307017	2017	0.9999099171591389	1.0000188905869705
Treatment	0.9998940726000383	2012	0.9998311207619259	0.9999370414928567
Treatment	0.9998940726000383	2013	0.9999417591582141	1.000047691610024
Treatment	0.9998940726000383	2014	0.9998895306408185	0.9999954575596114
Treatment	0.9998940726000383	2015	0.9999279385278955	1.000033869515567
Treatment	0.9998940726000383	2016	0.9999885017375777	1.000094439141232
Treatment	0.9998940726000383	2017	1	1.0001059386217646
