treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.05176593757331	2012	10.362668521095076	1.0309301455537896
Control	10.05176593757331	2013	10.446140067591081	1.0392343129025328
Control	10.05176593757331	2014	10.373648732043673	1.0320225119117798
Control	10.05176593757331	2015	10.213784434346712	1.01611841121049
Control	10.05176593757331	2016	10.583513980136605	1.0529009574900299
Control	10.05176593757331	2017	10.763399073956512	1.0707968272244712
Treatment	10.27890565446304	2012	10.420581632470121	1.0137831771950905
Treatment	10.27890565446304	2013	10.618287726582212	1.0330173350673584
Treatment	10.27890565446304	2014	10.281432115147304	1.0002457908233808
Treatment	10.27890565446304	2015	10.27911401889331	1.000020271071384
Treatment	10.27890565446304	2016	10.333005106429942	1.0052631528866511
Treatment	10.27890565446304	2017	10.522937979170635	1.0237410803164282
