treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.230312928575417	2012	10.553135096670697	1.0315554539092906
Control	10.230312928575417	2013	10.617175821362364	1.037815352813535
Control	10.230312928575417	2014	10.478727214688162	1.024282178643712
Control	10.230312928575417	2015	10.256660284515076	1.0025754203340218
Control	10.230312928575417	2016	10.6385927726999	1.0399088324057097
Control	10.230312928575417	2017	10.935480298500613	1.068929208211756
Treatment	10.352758741200827	2012	10.495987968939927	1.0138348851083616
Treatment	10.352758741200827	2013	10.646234459128836	1.0283475859202693
Treatment	10.352758741200827	2014	10.369480167752995	1.001615166253766
Treatment	10.352758741200827	2015	10.3109477249032	0.9959613647586288
Treatment	10.352758741200827	2016	10.326885673949306	0.997500852874263
Treatment	10.352758741200827	2017	10.504999192473807	1.0147053027196615
