treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.026016270359767	2012	10.346010940851013	1.031916432395712
Control	10.026016270359767	2013	10.43572861284279	1.0408649189702863
Control	10.026016270359767	2014	10.35141230950334	1.032455167672683
Control	10.026016270359767	2015	10.192575721481049	1.016612724997633
Control	10.026016270359767	2016	10.571774441221235	1.0544341996007838
Control	10.026016270359767	2017	10.759325382357279	1.073140626568243
Treatment	10.245802514703897	2012	10.454962085804679	1.0204141716376647
Treatment	10.245802514703897	2013	10.650910784150307	1.0395389496201037
Treatment	10.245802514703897	2014	10.240642073142439	0.999496336030872
Treatment	10.245802514703897	2015	10.18186767102722	0.9937598988868932
Treatment	10.245802514703897	2016	10.297583225453335	1.0050538462629088
Treatment	10.245802514703897	2017	10.532879948708116	1.0280190286307227
