treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.622701481071903	2012	10.751702790019344	1.0121439267758114
Control	10.622701481071903	2013	10.924386268726881	1.028400006174751
Control	10.622701481071903	2014	10.903391813350996	1.0264236298816494
Control	10.622701481071903	2015	10.820005333039138	1.01857379239347
Control	10.622701481071903	2016	11.24718100033278	1.0587872605074715
Control	10.622701481071903	2017	11.437646323525305	1.0767172873967619
Treatment	10.58600406538945	2012	10.740535966231642	1.014597755667545
Treatment	10.58600406538945	2013	10.859832815109812	1.0258670550312403
Treatment	10.58600406538945	2014	10.587316454282815	1.0001239739646102
Treatment	10.58600406538945	2015	10.456578423617612	0.9877738907927507
Treatment	10.58600406538945	2016	10.443741274382893	0.9865612378261143
Treatment	10.58600406538945	2017	10.671509488564073	1.0080772142771208
