treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	85.83775300746382	2012	86.18869481720402	1.0040884319246997
Control	85.83775300746382	2013	86.30931592585468	1.0054936540376338
Control	85.83775300746382	2014	86.54724718235383	1.0082655259490345
Control	85.83775300746382	2015	86.73798072600687	1.01048754990668
Control	85.83775300746382	2016	88.9621134859369	1.0363984420491692
Control	85.83775300746382	2017	89.34017132198497	1.04080277257743
Treatment	1.3881794507311047	2012	1.1645351001246538	0.8388937752329748
Treatment	1.3881794507311047	2013	1.3971611717924883	1.006470144084508
Treatment	1.3881794507311047	2014	1.4843203276266397	1.069256807428536
Treatment	1.3881794507311047	2015	1.94235183329015	1.3992080290968019
Treatment	1.3881794507311047	2016	2.1031124391635583	1.515014818909705
Treatment	1.3881794507311047	2017	2.073624465230329	1.493772627262437
