treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	85.89575031582922	2012	86.37983072265693	1.0056356735350445
Control	85.89575031582922	2013	86.6480039607954	1.0087577516023811
Control	85.89575031582922	2014	86.81084146338283	1.0106535089825623
Control	85.89575031582922	2015	87.09947662711538	1.0140138051866383
Control	85.89575031582922	2016	89.4973229420076	1.0419295787385965
Control	85.89575031582922	2017	89.86437054707152	1.0462027541135634
Treatment	1.532946680517407	2012	1.307286351937326	0.8527931000810053
Treatment	1.532946680517407	2013	1.6426352030823699	1.0715540363921465
Treatment	1.532946680517407	2014	1.6572910181121794	1.0811145874641923
Treatment	1.532946680517407	2015	1.9429034672972028	1.2674305584075667
Treatment	1.532946680517407	2016	2.1653131268612333	1.4125169220695837
Treatment	1.532946680517407	2017	2.0783465353060344	1.3557852740217564
