treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.484166124337493	2012	12.974998913921118	0.9622396219594638
Control	13.484166124337493	2013	13.0380474932928	0.9669153711893613
Control	13.484166124337493	2014	12.892017568686901	0.9560856377628109
Control	13.484166124337493	2015	12.749742402159146	0.9455343611606216
Control	13.484166124337493	2016	10.537203328097064	0.7814501268327247
Control	13.484166124337493	2017	10.198354885413995	0.7563207684757787
Treatment	8.398842537606104	2012	7.6518880624847645	0.9110645935107338
Treatment	8.398842537606104	2013	8.243592933433803	0.9815153572081908
Treatment	8.398842537606104	2014	8.320933797404642	0.9907238717891634
Treatment	8.398842537606104	2015	7.9487439132526765	0.9464094460232948
Treatment	8.398842537606104	2016	7.792551299213773	0.927812524680914
Treatment	8.398842537606104	2017	6.737033696377682	0.8021383501610352
