treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.348600308761789	2012	12.840410627358413	0.9619293656526813
Control	13.348600308761789	2013	13.008045602841122	0.9744876093340563
Control	13.348600308761789	2014	12.696459326332658	0.9511453660050727
Control	13.348600308761789	2015	12.427924227401215	0.9310282681281379
Control	13.348600308761789	2016	10.36475455515043	0.7764675183470124
Control	13.348600308761789	2017	10.198231593054292	0.7639925802827694
Treatment	8.211905036273379	2012	7.084041450515464	0.8626550622814134
Treatment	8.211905036273379	2013	7.763290520225263	0.9453702260234977
Treatment	8.211905036273379	2014	7.285236333110169	0.8871554530806242
Treatment	8.211905036273379	2015	6.380868856303178	0.7770266251396962
Treatment	8.211905036273379	2016	5.438081629076412	0.6622192542480072
Treatment	8.211905036273379	2017	4.588498372161849	0.5587617430905099
