treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.853696826021464	2012	12.404972258714553	0.9650898435383587
Control	12.853696826021464	2013	12.44162940220923	0.967941719071977
Control	12.853696826021464	2014	12.331848054734998	0.9594008806688191
Control	12.853696826021464	2015	12.129612538124464	0.9436672345942423
Control	12.853696826021464	2016	10.039258052956745	0.7810405200030024
Control	12.853696826021464	2017	9.704679608751674	0.7550107755074157
Treatment	8.422076366892748	2012	6.648274762820513	0.789386663478253
Treatment	8.422076366892748	2013	8.130288112550915	0.9653543566181785
Treatment	8.422076366892748	2014	7.532129606782123	0.8943316681846993
Treatment	8.422076366892748	2015	6.807434232993549	0.808284553171903
Treatment	8.422076366892748	2016	5.697356543133333	0.6764788509315457
Treatment	8.422076366892748	2017	4.874530205681159	0.5787801004563409
