treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.5705245453682046	2012	0.5770964686692884	1.011519089501824
Control	0.5705245453682046	2013	0.5100723114333333	0.8940409585781157
Control	0.5705245453682046	2014	0.492855699492594	0.8638641465890222
Control	0.5705245453682046	2015	0.3623513383898432	0.6351196304025608
Control	0.5705245453682046	2016	0.35056857546601944	0.6144671220758255
Control	0.5705245453682046	2017	0.5169798552587197	0.9061483146620304
Treatment	89.98970198467026	2012	90.82577582261281	1.0092907723828775
Treatment	89.98970198467026	2013	90.00301224452312	1.0001479087002103
Treatment	89.98970198467026	2014	90.5086897473061	1.0057671905916994
Treatment	89.98970198467026	2015	91.33908592216083	1.0149948706099776
Treatment	89.98970198467026	2016	92.3613426140022	1.0263545781020138
Treatment	89.98970198467026	2017	92.95820978341163	1.0329871944597289
