treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.461985469523731	2012	0.4928039206873781	1.0667087023222146
Control	0.461985469523731	2013	0.4298855830133917	0.9305175408580888
Control	0.461985469523731	2014	0.3979647673798679	0.861422693207509
Control	0.461985469523731	2015	0.3410495743573137	0.7382257600199152
Control	0.461985469523731	2016	0.37485282083084576	0.8113952614511625
Control	0.461985469523731	2017	0.47975245301029296	1.0384578837617517
Treatment	89.58394788149654	2012	90.43932651321452	1.0095483471307771
Treatment	89.58394788149654	2013	89.84299460269706	1.002891664492652
Treatment	89.58394788149654	2014	89.89481087507735	1.0034700747280307
Treatment	89.58394788149654	2015	90.6931956755166	1.0123822160136033
Treatment	89.58394788149654	2016	90.92777875406784	1.0150007998570119
Treatment	89.58394788149654	2017	92.31273180857886	1.0304606348750338
