treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0827184479547807	2012	0.08137380431006583	0.9837443317910178
Control	0.0827184479547807	2013	0.08274640518303361	1.0003379805707693
Control	0.0827184479547807	2014	0.08526367761623997	1.0307697946998553
Control	0.0827184479547807	2015	0.07603653652327856	0.9192210250952133
Control	0.0827184479547807	2016	0.07130176402565472	0.8619814054614868
Control	0.0827184479547807	2017	0.08034475087212493	0.9713038972400282
Treatment	0.09274298560248806	2012	0.08228665307181926	0.887254734546865
Treatment	0.09274298560248806	2013	0.08365570299791217	0.9020164970370319
Treatment	0.09274298560248806	2014	0.10661226205620028	1.1495452875881984
Treatment	0.09274298560248806	2015	0.08761694684781912	0.9447285557892217
Treatment	0.09274298560248806	2016	0.06886232906331276	0.7425071407391197
Treatment	0.09274298560248806	2017	0.0849096064856098	0.9155366945975469
