treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.7991865168164535	2012	0.8119496432349546	1.0159701473309921
Control	0.7991865168164535	2013	0.821963316429276	1.028499979833936
Control	0.7991865168164535	2014	0.8073551138971273	1.010221139757479
Control	0.7991865168164535	2015	0.7887868300257872	0.9869871593528714
Control	0.7991865168164535	2016	0.7792634543161174	0.9750708225412771
Control	0.7991865168164535	2017	0.7785471912088957	0.974174582311806
Treatment	0.6475264983132557	2012	0.6755401714864947	1.0432625896333385
Treatment	0.6475264983132557	2013	0.6786162728657205	1.0480131309428273
Treatment	0.6475264983132557	2014	0.6259050442117905	0.9666091593814508
Treatment	0.6475264983132557	2015	0.6260966089141934	0.9669050000966986
Treatment	0.6475264983132557	2016	0.6155647441443705	0.9506402375004844
Treatment	0.6475264983132557	2017	0.6216156159425607	0.9599848308321121
