treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.8119403240095907	2012	0.7782914002719149	0.9585573930218074
Control	0.8119403240095907	2013	0.7929994772505763	0.9766721196140633
Control	0.8119403240095907	2014	0.8278853793877143	1.0196382109702131
Control	0.8119403240095907	2015	0.8411806440829318	1.0360128930768508
Control	0.8119403240095907	2016	0.8325984637017791	1.025442928601172
Control	0.8119403240095907	2017	0.8471098877363185	1.0433154539647083
Treatment	0.16516579519418567	2012	0.1684807726995227	1.0200706054267445
Treatment	0.16516579519418567	2013	0.16371729224685633	0.9912300065178365
Treatment	0.16516579519418567	2014	0.16276656274010262	0.9854737934615199
Treatment	0.16516579519418567	2015	0.16997453734198734	1.029114636854126
Treatment	0.16516579519418567	2016	0.1639543087157195	0.9926650280280985
Treatment	0.16516579519418567	2017	0.1910519992014953	1.1567286009604785
