treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0011001100110011	2012	0.0015515903801396431	1.4103956555469357
Control	0.0011001100110011	2013	0	0
Control	0.0011001100110011	2014	0	0
Control	0.0011001100110011	2015	0.0011547344110854503	1.0496535796766744
Control	0.0011001100110011	2016	0.010444280805105547	9.493851251840942
Control	0.0011001100110011	2017	0.007585776431914818	6.89547077661057
Treatment	0.00545566313201168	2012	0.005952380952380952	1.091046277665996
Treatment	0.00545566313201168	2013	0.005366726296958855	0.983698253924261
Treatment	0.00545566313201168	2014	0.004570383912248629	0.8377320596338543
Treatment	0.00545566313201168	2015	0	0
Treatment	0.00545566313201168	2016	0.0027662517289073307	0.5070422535211268
Treatment	0.00545566313201168	2017	0.009219858156028368	1.6899610428528618
