treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0017152658662092624	2012	0.0021344717182497333	1.2443970117395946
Control	0.0017152658662092624	2013	0	0
Control	0.0017152658662092624	2014	0	0
Control	0.0017152658662092624	2015	0	0
Control	0.0017152658662092624	2016	0.004502259436469962	2.6248172514619883
Control	0.0017152658662092624	2017	0.004430775646371976	2.583142201834862
Treatment	0.002061855670103093	2012	0.0024691358024691358	1.1975308641975309
Treatment	0.002061855670103093	2013	0.0024752475247524753	1.2004950495049505
Treatment	0.002061855670103093	2014	0	0
Treatment	0.002061855670103093	2015	0	0
Treatment	0.002061855670103093	2016	0.003787878787878788	1.8371212121212122
Treatment	0.002061855670103093	2017	0.006903353057199211	3.3481262327416172
