treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0013449899125756557	2012	0.001937984496124031	1.440891472868217
Control	0.0013449899125756557	2013	0	0
Control	0.0013449899125756557	2014	0	0
Control	0.0013449899125756557	2015	0	0
Control	0.0013449899125756557	2016	0.005848426045709358	4.348304764984907
Control	0.0013449899125756557	2017	0.0035983444526809984	2.6753691005683224
Treatment	0.006156156156156156	2012	0.005691056910569105	0.9244497323022011
Treatment	0.006156156156156156	2013	0.007712082262210797	1.252743118690827
Treatment	0.006156156156156156	2014	0.0026246719160104987	0.4263491453812176
Treatment	0.006156156156156156	2015	0	0
Treatment	0.006156156156156156	2016	9.606147934678194e-4	0.15604132986574823
Treatment	0.006156156156156156	2017	0.003683241252302026	0.5983021156178413
