treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.001697792869269949	2012	0.00261437908496732	1.5398692810457515
Control	0.001697792869269949	2013	0	0
Control	0.001697792869269949	2014	0	0
Control	0.001697792869269949	2015	0	0
Control	0.001697792869269949	2016	0.006611893583724569	3.8944053208137714
Control	0.001697792869269949	2017	0.00496311894444715	2.9232770582793712
Treatment	0.005646417445482866	2012	0.004744958481613286	0.8403485090195117
Treatment	0.005646417445482866	2013	0.005415162454873646	0.9590439437321051
Treatment	0.005646417445482866	2014	0.0035460992907801418	0.6280264123257521
Treatment	0.005646417445482866	2015	0	0
Treatment	0.005646417445482866	2016	0	0
Treatment	0.005646417445482866	2017	0.004081632653061225	0.7228712174524984
