treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.0022522522522522522	2012	0.0032102728731942215	1.4253611556982344
Control	0.0022522522522522522	2013	0	0
Control	0.0022522522522522522	2014	0	0
Control	0.0022522522522522522	2015	0	0
Control	0.0022522522522522522	2016	0.005800041614648356	2.57521847690387
Control	0.0022522522522522522	2017	0.0016848523748395378	0.7480744544287548
Treatment	0.0029239766081871343	2012	0.004201680672268907	1.4369747899159664
Treatment	0.0029239766081871343	2013	0.004132231404958678	1.413223140495868
Treatment	0.0029239766081871343	2014	0	0
Treatment	0.0029239766081871343	2015	0	0
Treatment	0.0029239766081871343	2016	0	0
Treatment	0.0029239766081871343	2017	0.005	1.7100000000000002
