treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.2220172830239135	2012	0.24037200921435137	1.082672510628197
Control	0.2220172830239135	2013	0.23133486738999678	1.0419678334910516
Control	0.2220172830239135	2014	0.2056152192054599	0.9261225811114582
Control	0.2220172830239135	2015	0.189024260367418	0.851394349993276
Control	0.2220172830239135	2016	0.18920744804106526	0.8522194554587254
Control	0.2220172830239135	2017	0.1824463179138385	0.8217662851688317
Treatment	0.8177262541220761	2012	0.8106118298710892	0.9912997482774659
Treatment	0.8177262541220761	2013	0.8174929521822435	0.9997146943263022
Treatment	0.8177262541220761	2014	0.8275188147628714	1.0119753531104474
Treatment	0.8177262541220761	2015	0.8283482885027508	1.012989719147612
Treatment	0.8177262541220761	2016	0.8482011911699412	1.0372678960645374
Treatment	0.8177262541220761	2017	0.8113451965522971	0.9921965846912548
