treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.18990393764991614	2012	0.22502126387814567	1.1849215274986429
Control	0.18990393764991614	2013	0.211736071514901	1.114964092557322
Control	0.18990393764991614	2014	0.17665743514960722	0.9302462989223079
Control	0.18990393764991614	2015	0.15937632202496738	0.8392470635273199
Control	0.18990393764991614	2016	0.16133340201655064	0.8495526949734203
Control	0.18990393764991614	2017	0.15253154340818303	0.8032036896958487
Treatment	0.8212015620129308	2012	0.8170175881832323	0.9949050586077275
Treatment	0.8212015620129308	2013	0.826864940837996	1.0068964540339926
Treatment	0.8212015620129308	2014	0.8310757440527833	1.0120240663152769
Treatment	0.8212015620129308	2015	0.8297140868591004	1.0103659384491472
Treatment	0.8212015620129308	2016	0.8352588420198483	1.0171179411452413
Treatment	0.8212015620129308	2017	0.7970548222662884	0.9705958428921472
