treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.11394844985008065	2012	0.124584948070949	1.0933448259705378
Control	0.11394844985008065	2013	0.1164313449535918	1.02178963475833
Control	0.11394844985008065	2014	0.11586296883573698	1.0168016237884343
Control	0.11394844985008065	2015	0.10798798119731408	0.9476915336662445
Control	0.11394844985008065	2016	0.1073075837830894	0.9417204351991757
Control	0.11394844985008065	2017	0.11633930921221179	1.020981938457932
Treatment	0.1122209019777723	2012	0.11436746412506403	1.019128006542996
Treatment	0.1122209019777723	2013	0.10916433451520158	0.9727629398026391
Treatment	0.1122209019777723	2014	0.11137653835456802	0.9924758791960919
Treatment	0.1122209019777723	2015	0.10691810008291422	0.9527467539344104
Treatment	0.1122209019777723	2016	0.10389537219616525	0.9258112380592334
Treatment	0.1122209019777723	2017	0.12372563118691168	1.1025185950779306
