treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	8.559397489741661	2012	8.886816968903036	1.0382526316313483
Control	8.559397489741661	2013	8.966213300134891	1.0475285568734007
Control	8.559397489741661	2014	8.886488342818307	1.0382142380312003
Control	8.559397489741661	2015	8.840360456902111	1.0328250869873938
Control	8.559397489741661	2016	9.347964510470325	1.092128800149047
Control	8.559397489741661	2017	9.42293933563899	1.1008881579494671
Treatment	8.812191168508493	2012	9.031641379711347	1.0249030243450787
Treatment	8.812191168508493	2013	9.210309785823071	1.045178163943754
Treatment	8.812191168508493	2014	8.845683450316608	1.0038006758100986
Treatment	8.812191168508493	2015	8.842842042313565	1.0034782352333216
Treatment	8.812191168508493	2016	9.19631314467585	1.0435898369454428
Treatment	8.812191168508493	2017	9.381983773285782	1.0646595828303766
