treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	9.160560212752344	2012	9.303597732567633	1.015614494800893
Control	9.160560212752344	2013	9.443029647483437	1.0308353886848394
Control	9.160560212752344	2014	9.438076064929247	1.0302946376347786
Control	9.160560212752344	2015	9.492466279950559	1.036232070909394
Control	9.160560212752344	2016	9.965052835074886	1.0878213344640881
Control	9.160560212752344	2017	10.119595391703381	1.104691760839689
Treatment	9.158617564477009	2012	9.279642382244775	1.0132143106659655
Treatment	9.158617564477009	2013	9.428936771851882	1.0295152849730667
Treatment	9.158617564477009	2014	9.197626133952303	1.0042592202590264
Treatment	9.158617564477009	2015	9.176135013103325	1.001912673883694
Treatment	9.158617564477009	2016	9.431522346917745	1.029797595599934
Treatment	9.158617564477009	2017	9.549776412946152	1.0427093767935358
