treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.533674080104511	2012	12.395137173652405	0.9889468239267515
Control	12.533674080104511	2013	12.600846812518927	1.0053593808156416
Control	12.533674080104511	2014	12.695166788304174	1.0128847062056616
Control	12.533674080104511	2015	12.77007965477377	1.018861634119282
Control	12.533674080104511	2016	13.175068192576031	1.0511736708942867
Control	12.533674080104511	2017	13.260251098555566	1.0579699945768013
Treatment	13.118643061682835	2012	12.989509792012703	0.990156507112591
Treatment	13.118643061682835	2013	13.144577136522242	1.0019768869933778
Treatment	13.118643061682835	2014	13.307018477706169	1.014359367438965
Treatment	13.118643061682835	2015	13.291905187897513	1.0132073207114496
Treatment	13.118643061682835	2016	13.666063385490395	1.0417284258161177
Treatment	13.118643061682835	2017	13.79813953437414	1.0517962467228026
