treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.701292199843266	2012	11.975978446716624	1.023474864329688
Control	11.701292199843266	2013	11.941495357110961	1.02052791718772
Control	11.701292199843266	2014	11.851778896860845	1.012860690464562
Control	11.701292199843266	2015	11.710334255972032	1.0007727399653252
Control	11.701292199843266	2016	12.232795541448887	1.0454226193593166
Control	11.701292199843266	2017	12.498645845555497	1.0681423583049154
Treatment	12.589698354770862	2012	12.631673970378255	1.0033341240135023
Treatment	12.589698354770862	2013	12.684189818104358	1.0075054588816013
Treatment	12.589698354770862	2014	12.698700990255736	1.008658081584899
Treatment	12.589698354770862	2015	12.490284742943636	0.9921035747620154
Treatment	12.589698354770862	2016	12.852941281969832	1.0209093911371765
Treatment	12.589698354770862	2017	13.145686384847021	1.0441621406969983
