treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.71846103281684	2012	12.979258983893695	1.020505464490077
Control	12.71846103281684	2013	13.021419670190824	1.0238203849186056
Control	12.71846103281684	2014	13.0492191512121	1.0260061431600742
Control	12.71846103281684	2015	13.091374737947884	1.029320662631181
Control	12.71846103281684	2016	13.55395741956405	1.0656916261009424
Control	12.71846103281684	2017	13.638479078312736	1.0723372146301362
Treatment	13.543154866139838	2012	13.67703408573892	1.0098853790658338
Treatment	13.543154866139838	2013	13.774700698701896	1.0170968902630628
Treatment	13.543154866139838	2014	13.721831934577885	1.013193164384819
Treatment	13.543154866139838	2015	13.615257674703335	1.0053239300056862
Treatment	13.543154866139838	2016	13.958736459243337	1.0306857299655137
Treatment	13.543154866139838	2017	14.199608676710001	1.0484712622028274
