treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.988878072929808	2012	12.031226781039486	1.003532332871522
Control	11.988878072929808	2013	12.211268764382467	1.0185497500349765
Control	11.988878072929808	2014	12.371022285742594	1.0318748935878868
Control	11.988878072929808	2015	12.546480589116369	1.0465099830688573
Control	11.988878072929808	2016	13.034087532451693	1.087181590567837
Control	11.988878072929808	2017	13.203234812608162	1.1012902735594836
Treatment	12.515767021862995	2012	12.513593280502601	0.9998263197647738
Treatment	12.515767021862995	2013	12.734777967665604	1.017498803343018
Treatment	12.515767021862995	2014	12.744573447364711	1.0182814545126981
Treatment	12.515767021862995	2015	12.545622170858742	1.0023854030634793
Treatment	12.515767021862995	2016	12.891156103525836	1.0299932941390726
Treatment	12.515767021862995	2017	13.0442470396279	1.0422251402444402
