treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.15189633684	2012	12.511726798094212	1.0296110542157393
Control	12.15189633684	2013	12.581935609139382	1.0353886554311416
Control	12.15189633684	2014	12.613941292699531	1.0380224569937109
Control	12.15189633684	2015	12.51622849305909	1.029981506270307
Control	12.15189633684	2016	12.891020280588434	1.0608237532036615
Control	12.15189633684	2017	12.928897667837152	1.0639407471442606
Treatment	12.219555544230332	2012	12.59534739337413	1.030753315681865
Treatment	12.219555544230332	2013	12.534040144684472	1.0257361734079296
Treatment	12.219555544230332	2014	12.526306410288456	1.025103275233522
Treatment	12.219555544230332	2015	12.712284207508432	1.0403229611334555
Treatment	12.219555544230332	2016	12.697431380006899	1.0391074645920493
Treatment	12.219555544230332	2017	12.772768983936544	1.0452727955369392
