treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.71383604658618	2012	12.979442744174342	1.0208911532770222
Control	12.71383604658618	2013	13.06137125185842	1.0273351963953914
Control	12.71383604658618	2014	12.974332511147898	1.020489210621185
Control	12.71383604658618	2015	12.70024561755588	0.9989310520459362
Control	12.71383604658618	2016	13.220487979072187	1.0398504377930884
Control	12.71383604658618	2017	13.469479201140224	1.0594347096962087
Treatment	12.897076752807351	2012	13.152077463069558	1.0197719774139284
Treatment	12.897076752807351	2013	13.133514503912684	1.018332662171206
Treatment	12.897076752807351	2014	12.899949704246604	1.0002227598931384
Treatment	12.897076752807351	2015	13.50077872287518	1.046809209686716
Treatment	12.897076752807351	2016	13.776082542006293	1.068155428245211
Treatment	12.897076752807351	2017	13.863600575154928	1.0749413096372549
