treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	13.483904372687858	2012	13.571660540765166	1.0065082164372998
Control	13.483904372687858	2013	13.718545685140755	1.0174015853248093
Control	13.483904372687858	2014	13.756726818638272	1.0202331934734739
Control	13.483904372687858	2015	13.56731070966896	1.0061856221073506
Control	13.483904372687858	2016	14.007987274434448	1.0388672959449445
Control	13.483904372687858	2017	14.17386241151193	1.0511690100844684
Treatment	13.313457670516572	2012	13.504372994369156	1.0143400256024682
Treatment	13.313457670516572	2013	13.600723825205966	1.0215771260778905
Treatment	13.313457670516572	2014	13.322606601593558	1.0006871942138102
Treatment	13.313457670516572	2015	13.902344911025645	1.0442324792764541
Treatment	13.313457670516572	2016	14.182897875987736	1.0653053644656558
Treatment	13.313457670516572	2017	14.149636541556234	1.0628070401944816
