treatment	statistic	excess_anticipate	current_investment	long_term_inv_subasoc	long_term_inv_joint	long_term_inv_other	gross_profit_margin	net_profit_margin	profitability	return_on_assets	tasa_ir	conjunto
control	mean	0	172280.4110381421	151589.58801501011	4985.298209371692	109031.71082077309	0.21997602457386806	0.655600173486786	0.06595026983892323	0.4894346711075827	0.10733759444696962	todas_empresas
control	sd	0	5464981.999231244	2945513.2155381236	412592.0457081334	3943516.5002528704	0.39116322796278485	0.47461768234086354	0.15692832470123924	0.45829362148379293	0.1117341262840027	todas_empresas
control	median	0	0	0	0	0	0	1	0	0.43411581444947234	0	todas_empresas
control	firms	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	todas_empresas
treatment	mean	0	42938.18717898355	199270.73887272726	2310.796644155844	62772.14872329978	0.21315972333829508	0.6441621773035351	0.0733358385198999	0.37275884929201303	0.1019909533593522	todas_empresas
treatment	sd	0	452156.3665702752	2101606.8537678793	91322.16889498568	788910.2402386443	0.3887318473180185	0.47830081858671303	0.17228398374815732	0.42823057727809977	0.1125151803588548	todas_empresas
treatment	median	0	0	0	0	0	0	1	0	0.11287681331580648	0	todas_empresas
treatment	firms	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	todas_empresas
control	mean	0	172280.4110381421	151589.58801501011	4985.298209371692	109031.71082077309	0.21997602457386806	0.655600173486786	0.06595026983892323	0.4894346711075827	0.10733759444696962	panel_desbalanceado
control	sd	0	5464981.999231244	2945513.2155381236	412592.0457081334	3943516.5002528704	0.39116322796278485	0.47461768234086354	0.15692832470123924	0.45829362148379293	0.1117341262840027	panel_desbalanceado
control	median	0	0	0	0	0	0	1	0	0.43411581444947234	0	panel_desbalanceado
control	firms	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	panel_desbalanceado
treatment	mean	0	42938.18717898355	199270.73887272726	2310.796644155844	62772.14872329978	0.21315972333829508	0.6441621773035351	0.0733358385198999	0.37275884929201303	0.1019909533593522	panel_desbalanceado
treatment	sd	0	452156.3665702752	2101606.8537678793	91322.16889498568	788910.2402386443	0.3887318473180185	0.47830081858671303	0.17228398374815732	0.42823057727809977	0.1125151803588548	panel_desbalanceado
treatment	median	0	0	0	0	0	0	1	0	0.11287681331580648	0	panel_desbalanceado
treatment	firms	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	panel_desbalanceado
