treatment	statistic	hhi_th	beneficiarios_total	share_pff	share_ext	share_nac	porcentage_pff	porcentage_ext	porcentage_nac	net_profits	taxable_profits	local_sales	exports	total_sales	labor_costs	total_assets	total_capital	total_income	tax_liability	conjunto
control	mean	9.71662398821956	1.0811032502819646	0.1863604119370561	0.8129592002418858	6.80387821058003e-4	0.36960790897057316	86.46107129446719	12.906499089167436	379585.06535732595	362986.2202230083	3727495.7620701324	502316.9568859218	3330342.9515550756	666883.5930532103	5626573.342890393	1670123.6587357735	4890921.856598996	80460.62480621347	todas_empresas
control	sd	113.4055256590108	3.3636451847501383	0.33505920368229636	0.33569491012863184	0.026077587432520345	3.2964657248968985	19.61672910457159	19.40524993369969	3013012.2937144856	2755565.1771071595	29484847.562861692	5363600.591433504	26308751.72703422	4350550.693193785	62673551.62548034	13299908.497155417	32592962.991989106	606685.2243604048	todas_empresas
control	median	0	0	0	1	0	0	99.75	0.12	0	0	4000	0	0	9567.2	113505.685	13434.695	55346.965	0	todas_empresas
control	firms	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	todas_empresas
treatment	mean	7351.921879807992	1.4205745150994353	0.8297735319432735	0.16622586419199215	0.0040006038647343	90.3816533362023	1.4815335669936165	8.037464633926835	304776.28992143384	300256.4621335625	3064365.907493248	716707.0690406321	3755110.6525282166	610837.1596501129	4327159.165511908	1518506.815912104	4006897.748092315	67226.16033145101	todas_empresas
treatment	sd	3044.109080263023	2.275507880421248	0.32906682307466917	0.32603105573648844	0.05761367064068939	16.930519357014017	6.30084929334451	15.27112901524408	2168708.4552934454	2335088.386109896	19877353.560552	5648853.359754004	24596446.166184932	2804807.3638879103	17091156.417893924	7484758.757364519	22068104.079484157	517560.9884809366	todas_empresas
treatment	median	9604	1	1	0	0	99.875	0	0.04	0	0	2000	0	0	2390.7799999999997	343067.07	35841.83	38878.67	0	todas_empresas
treatment	firms	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	todas_empresas
control	mean	9.71662398821956	1.0811032502819646	0.1863604119370561	0.8129592002418858	6.80387821058003e-4	0.36960790897057316	86.46107129446719	12.906499089167436	379585.06535732595	362986.2202230083	3727495.7620701324	502316.9568859218	3330342.9515550756	666883.5930532103	5626573.342890393	1670123.6587357735	4890921.856598996	80460.62480621347	panel_desbalanceado
control	sd	113.4055256590108	3.3636451847501383	0.33505920368229636	0.33569491012863184	0.026077587432520345	3.2964657248968985	19.61672910457159	19.40524993369969	3013012.2937144856	2755565.1771071595	29484847.562861692	5363600.591433504	26308751.72703422	4350550.693193785	62673551.62548034	13299908.497155417	32592962.991989106	606685.2243604048	panel_desbalanceado
control	median	0	0	0	1	0	0	99.75	0.12	0	0	4000	0	0	9567.2	113505.685	13434.695	55346.965	0	panel_desbalanceado
control	firms	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	7424	panel_desbalanceado
treatment	mean	7351.921879807992	1.4205745150994353	0.8297735319432735	0.16622586419199215	0.0040006038647343	90.3816533362023	1.4815335669936165	8.037464633926835	304776.28992143384	300256.4621335625	3064365.907493248	716707.0690406321	3755110.6525282166	610837.1596501129	4327159.165511908	1518506.815912104	4006897.748092315	67226.16033145101	panel_desbalanceado
treatment	sd	3044.109080263023	2.275507880421248	0.32906682307466917	0.32603105573648844	0.05761367064068939	16.930519357014017	6.30084929334451	15.27112901524408	2168708.4552934454	2335088.386109896	19877353.560552	5648853.359754004	24596446.166184932	2804807.3638879103	17091156.417893924	7484758.757364519	22068104.079484157	517560.9884809366	panel_desbalanceado
treatment	median	9604	1	1	0	0	99.875	0	0.04	0	0	2000	0	0	2390.7799999999997	343067.07	35841.83	38878.67	0	panel_desbalanceado
treatment	firms	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	1524	panel_desbalanceado
control	mean	12.599925389719452	1.4515154376357284	0.21523685901378556	0.7842623898595245	5.007511266900351e-4	0.48533681854027005	86.7350375174839	12.378634246460768	628233.7381210462	605182.3004654895	6188797.531036729	922102.5223255814	5990683.22170155	1152056.117635659	9211034.232201869	2777673.336198659	8086071.05490794	134234.5347266547	panel_balanceado
control	sd	128.73779453870938	3.7794091146156488	0.349612058417702	0.3500194322129456	0.022374666912508105	3.753469029434899	19.240178538178007	18.77952867210285	3959750.3442896963	3636867.4058151217	39022392.858667195	7446925.157322375	36156662.39502145	5602694.055480557	83656754.04900664	17312384.988294527	42851167.46849053	801058.4485584612	panel_balanceado
control	median	0	0	0	1	0	0	99.75	0.12	5119.49	6648.87	88122.81	0	5177.925	65442.520000000004	391721.36	65844.33	290752.5	1482.01	panel_balanceado
control	firms	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	3368	panel_balanceado
treatment	mean	7444.754040034786	1.6519570222563316	0.8207287307709035	0.1779892179470452	0.001282051282051282	90.64404108351535	1.6196567689255563	7.588498506230238	453051.7655487337	440727.09445126634	4548843.145161167	962111.759470803	5660609.075364963	907403.3637591241	5866430.873818112	1996283.4263008442	5863696.2015425945	98501.57679585571	panel_balanceado
treatment	sd	3005.676476960256	2.475315759084751	0.3383500799455972	0.3371293861750504	0.03579425829872444	16.48529664474146	6.727176014096703	14.278821055303297	2691934.492551958	2897235.3799865623	24654177.732601095	6904200.270275309	31033718.11788694	3513090.1206760476	18392511.778342232	7243351.510810572	27294581.275492273	641757.3411937067	panel_balanceado
treatment	median	9604	1	1	0	0	99.875	0	0.0625	1532.955	1452.74	43335.81	0	0	21119.895	702366.9299999999	136114.54499999998	129320.23999999999	324.655	panel_balanceado
treatment	firms	885	885	885	885	885	885	885	885	885	885	885	885	885	885	885	885	885	885	panel_balanceado
control	mean	10.770841913920446	1.1661631419939578	0.18926441188275261	0.8099975807371735	7.380073800738007e-4	0.40855216206847933	86.57190824829033	12.740968238637759	435255.1736822463	416328.9878508382	4250049.9184035305	535862.3444689336	3555893.8035873217	711715.9161104114	6404307.892017061	1917293.6478129257	5569556.978789171	92275.40650316924	panel_semibalanceado
control	sd	120.01265665388425	3.4309791652512045	0.33489255127169343	0.33557593938462216	0.027158770471483715	3.4749042394940433	19.533442569317515	19.294460537143507	3234171.519181785	2957803.839542777	31630220.52563352	5543736.063141895	27187586.47147043	4494756.78984825	67248286.40876666	14263692.659979131	34940888.2464408	651195.6706930562	panel_semibalanceado
control	median	0	0	0	1	0	0	99.75	0.12	30.43	176.91	12619.35	0	0	13632.275	157902.4	21830.75	90818.23	38.13	panel_semibalanceado
control	firms	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	6169	panel_semibalanceado
treatment	mean	7295.212432642248	1.4997208263539923	0.8262640336627387	0.1715038234801184	0.002232142857142857	90.21425025502931	1.56876779737493	8.126910398376326	343504.15643774427	339328.3197962032	3456867.4380681184	761393.8407314148	3987295.3591247	647822.0164388489	4776631.853386376	1657075.238218872	4517291.813389168	75975.20849804579	panel_semibalanceado
treatment	sd	3052.4322773438157	2.3382914137847512	0.33368729778275463	0.33204996234409095	0.04308198288382756	16.99202027033151	6.529428279316736	15.196285086264448	2309163.049736554	2487049.7197370534	21161492.409630194	5819573.141207951	25334364.65269101	2886933.571080292	18129852.84936114	7937925.219156377	23480408.540484216	551229.1916084883	panel_semibalanceado
treatment	median	9207.472399999999	1	1	0	0	99.875	0	0.051000000000000004	0	0	12358.23	0	0	5928.455	448232.36	59858.205	65127.899999999994	0	panel_semibalanceado
treatment	firms	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	1295	panel_semibalanceado
control	mean	11.450256948524677	1.3542086498217332	0.18700478231744697	0.8125577723632179	4.374453193350831e-4	0.4393698404303209	86.68740259810231	12.522751982217796	573878.9555774298	548783.7678685475	5635403.915441017	764813.2321136023	5070592.048254111	1013816.7689088192	8203959.2434165245	2352023.6310541	7394382.400776624	121645.07066888854	ingreso_positivo
control	sd	123.80701180209185	3.8229078165866652	0.329964572518032	0.33037906139766954	0.020912905565692943	3.6055846536238945	19.263186193171475	19.027566890410174	3689697.8856616006	3373141.575015365	36105757.23498538	6603432.386273338	32328468.519747987	5335718.836359117	76531990.22993267	14883746.461010624	39844428.17795595	742609.9531969979	ingreso_positivo
control	median	0	0	0	1	0	0	99.75	0.1	8211.05	9964.345	145245.8	0	42511.67	67953.39	374467.74	59490.259999999995	352965.55	2218.4750000000004	ingreso_positivo
control	firms	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	5262	ingreso_positivo
treatment	mean	7324.952308106787	1.6477099236641222	0.8157561279139046	0.18018664381362046	0.004057228272474909	90.56413805144199	1.7241392002629772	7.663908324898474	473799.1713167939	466772.7367442748	4763698.983709924	1108206.7420069808	5806307.215078534	943551.0741710296	6175908.63741603	2114066.903515267	6229043.712969465	104508.45459160305	ingreso_positivo
treatment	sd	3059.107646317088	2.513486817754335	0.33491137818871686	0.3322180060783139	0.05709537304467256	16.843350920277302	6.920823402081793	14.773786191936088	2689337.0254212655	2898268.816754325	24621426.675021183	6995421.008731722	30399081.083853804	3443507.571422769	18595240.66295051	7359777.253138552	27264233.376007915	642326.5026889142	ingreso_positivo
treatment	median	9409	1	1	0	0	99.875	0	0.01175	8751.380000000001	9872.86	137232.5	0	49230.63	60112.74	897635.915	176289.365	328142.03	2210.295	ingreso_positivo
treatment	firms	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	1083	ingreso_positivo
control	mean	12.893387906070988	1.3975466666666667	0.18738041665905808	0.8120268151133189	5.927682276229995e-4	0.48657294385941335	86.42736445692341	12.73406336602368	749208.6196501333	755243.6492437334	7155522.1544970665	907351.6874106401	6516526.540590191	1218783.2715087282	10089972.3400864	2987513.231568	9271663.806706134	167409.59366933332	tasa_positiva
control	sd	134.91287712680833	3.94126040221506	0.3277394148244841	0.3283039816128325	0.024343222638978205	3.845351405095462	19.306704170680106	18.908606204892333	4182955.278132587	3937408.216242157	41123591.248857535	7256224.357712168	37544263.84812831	5518261.476577066	88976253.0563763	16893455.65214209	45168747.99941834	866775.4203649338	tasa_positiva
control	median	0	0	0	1	0	0	99.5	0.12	24465.36	33633.93	257378.32	0	95253.66	91927.7	459258.49	95426.81	535635.4	7498.66	tasa_positiva
control	firms	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	4115	tasa_positiva
treatment	mean	7388.48498275878	1.6051059206952742	0.8219620270419737	0.1745720296186652	0.003465943339361061	90.91997998786475	1.855851992925584	7.154660517144487	636116.1368766974	664282.7649483976	6129571.669918522	1146578.1064411027	7237397.373157895	1047987.6911278196	6833946.707322108	2446504.227848995	7891282.792341119	148730.02548614884	tasa_positiva
treatment	sd	3071.0487583077274	2.4233815760691155	0.3292936196184911	0.32721289611410137	0.050766299747217525	16.86897181072441	7.311187086935947	14.445646339904199	3145953.069368729	3438746.3758476996	29052471.80996505	6123342.935093935	35657072.714166366	3975689.670842708	19826255.585174013	7904349.621767354	31897040.729411095	762022.2592993958	tasa_positiva
treatment	median	9604	1	1	0	0	99.88	0	0.01	26427.47	37867.96	233000	0	53655	67364.62	949036.74	234275.9	581030.06	8419.63	tasa_positiva
treatment	firms	846	846	846	846	846	846	846	846	846	846	846	846	846	846	846	846	846	846	tasa_positiva
