treatment	mean_1215	anio_fiscal	mean_year	ratio	panel
control	0.10733759444696962	2012	0.11271644524429647	1.0501115273268424	todas_empresas
control	0.10733759444696962	2013	0.10658512132774026	0.9929896591859889	todas_empresas
control	0.10733759444696962	2014	0.10830952111989851	1.0090548579734482	todas_empresas
control	0.10733759444696962	2015	0.10261191278140236	0.9559736577858375	todas_empresas
control	0.10733759444696962	2016	0.10347118381923416	0.9639789707636343	todas_empresas
control	0.10733759444696962	2017	0.11036171755635893	1.028173941525058	todas_empresas
control	0.10733759444696962	2018	0.11341420771405983	1.0566121618282807	todas_empresas
control	0.10733759444696962	2019	0.11005894620246166	1.0253532023846177	todas_empresas
treatment	0.1019909533593522	2012	0.10300093855132386	1.0099026939027926	todas_empresas
treatment	0.1019909533593522	2013	0.09812203821050215	0.9620660948700184	todas_empresas
treatment	0.1019909533593522	2014	0.10478277323222732	1.0273732108674236	todas_empresas
treatment	0.1019909533593522	2015	0.10226920515442794	1.0027282007463483	todas_empresas
treatment	0.1019909533593522	2016	0.10272748781523586	1.007221566537265	todas_empresas
treatment	0.1019909533593522	2017	0.11934597766916216	1.170162389292134	todas_empresas
treatment	0.1019909533593522	2018	0.1206900666840694	1.183340901411454	todas_empresas
treatment	0.1019909533593522	2019	0.11160980096248586	1.0943107921468571	todas_empresas
control	0.10733759444696962	2012	0.11271644524429647	1.0501115273268424	panel_desbalanceado
control	0.10733759444696962	2013	0.10658512132774026	0.9929896591859889	panel_desbalanceado
control	0.10733759444696962	2014	0.10830952111989851	1.0090548579734482	panel_desbalanceado
control	0.10733759444696962	2015	0.10261191278140236	0.9559736577858375	panel_desbalanceado
control	0.10733759444696962	2016	0.10347118381923416	0.9639789707636343	panel_desbalanceado
control	0.10733759444696962	2017	0.11036171755635893	1.028173941525058	panel_desbalanceado
control	0.10733759444696962	2018	0.11341420771405983	1.0566121618282807	panel_desbalanceado
control	0.10733759444696962	2019	0.11005894620246166	1.0253532023846177	panel_desbalanceado
treatment	0.1019909533593522	2012	0.10300093855132386	1.0099026939027926	panel_desbalanceado
treatment	0.1019909533593522	2013	0.09812203821050215	0.9620660948700184	panel_desbalanceado
treatment	0.1019909533593522	2014	0.10478277323222732	1.0273732108674236	panel_desbalanceado
treatment	0.1019909533593522	2015	0.10226920515442794	1.0027282007463483	panel_desbalanceado
treatment	0.1019909533593522	2016	0.10272748781523586	1.007221566537265	panel_desbalanceado
treatment	0.1019909533593522	2017	0.11934597766916216	1.170162389292134	panel_desbalanceado
treatment	0.1019909533593522	2018	0.1206900666840694	1.183340901411454	panel_desbalanceado
treatment	0.1019909533593522	2019	0.11160980096248586	1.0943107921468571	panel_desbalanceado
control	0.13811223452324742	2012	0.1379190149238316	0.9986009957764944	panel_balanceado
control	0.13811223452324742	2013	0.1369731714886704	0.9917526275748924	panel_balanceado
control	0.13811223452324742	2014	0.14066463633306642	1.018480635105425	panel_balanceado
control	0.13811223452324742	2015	0.1369055044580618	0.9912626852403688	panel_balanceado
control	0.13811223452324742	2016	0.12995423524363306	0.9409321027367696	panel_balanceado
control	0.13811223452324742	2017	0.13543468738261497	0.9806132516074688	panel_balanceado
control	0.13811223452324742	2018	0.13884473721006957	1.0053036770373798	panel_balanceado
control	0.13811223452324742	2019	0.1279846695802155	0.926671485853578	panel_balanceado
treatment	0.12489242601886809	2012	0.12493050642279638	1.000304905630727	panel_balanceado
treatment	0.12489242601886809	2013	0.12176309424417975	0.9749437826260531	panel_balanceado
treatment	0.12489242601886809	2014	0.12621791227408471	1.0106130235232709	panel_balanceado
treatment	0.12489242601886809	2015	0.127184475730072	1.0183521914359934	panel_balanceado
treatment	0.12489242601886809	2016	0.12623660704267492	1.0107627104913772	panel_balanceado
treatment	0.12489242601886809	2017	0.14411799350511825	1.1539370168319547	panel_balanceado
treatment	0.12489242601886809	2018	0.1333969042372163	1.0680944272558484	panel_balanceado
treatment	0.12489242601886809	2019	0.12560764967598662	1.0057267176234568	panel_balanceado
control	0.11550715460501605	2012	0.124584948070949	1.0785907461487994	panel_semibalanceado
control	0.11550715460501605	2013	0.1164313449535918	1.0080011524111738	panel_semibalanceado
control	0.11550715460501605	2014	0.11586296883573698	1.0030804518727663	panel_semibalanceado
control	0.11550715460501605	2015	0.10798798119731408	0.9349029639470018	panel_semibalanceado
control	0.11550715460501605	2016	0.1073075837830894	0.929012442129965	panel_semibalanceado
control	0.11550715460501605	2017	0.11633930921221179	1.0072043555227497	panel_semibalanceado
control	0.11550715460501605	2018	0.1225575459907224	1.0610385686481119	panel_semibalanceado
control	0.11550715460501605	2019	0.11863025539375639	1.027038158799946	panel_semibalanceado
treatment	0.11048013834847384	2012	0.11436746412506403	1.0351857431996407	panel_semibalanceado
treatment	0.11048013834847384	2013	0.10916433451520158	0.9880901322813157	panel_semibalanceado
treatment	0.11048013834847384	2014	0.11137653835456802	1.008113675629793	panel_semibalanceado
treatment	0.11048013834847384	2015	0.10691810008291422	0.9677585644007403	panel_semibalanceado
treatment	0.11048013834847384	2016	0.10389537219616525	0.9403986431340349	panel_semibalanceado
treatment	0.11048013834847384	2017	0.12372563118691168	1.1198902629598384	panel_semibalanceado
treatment	0.11048013834847384	2018	0.12261489134508172	1.1098365115939004	panel_semibalanceado
treatment	0.11048013834847384	2019	0.11752573721828381	1.0637725384411352	panel_semibalanceado
control	0.16224361559526226	2012	0.1644196096560232	1.0134118932987122	ingreso_positivo
control	0.16224361559526226	2013	0.15992940560273675	0.9857362030300248	ingreso_positivo
control	0.16224361559526226	2014	0.16401998239142782	1.0109487623882651	ingreso_positivo
control	0.16224361559526226	2015	0.16067611233726423	0.990338582801875	ingreso_positivo
control	0.16224361559526226	2016	0.15606162688400024	0.9618968753341655	ingreso_positivo
control	0.16224361559526226	2017	0.16434981546312824	1.0129817118543523	ingreso_positivo
control	0.16224361559526226	2018	0.16747125217310882	1.032220907791451	ingreso_positivo
control	0.16224361559526226	2019	0.15842581948449896	0.9764687436435879	ingreso_positivo
treatment	0.15855311184451967	2012	0.15800285616300813	0.9965295182471654	ingreso_positivo
treatment	0.15855311184451967	2013	0.15300142122135402	0.9649852938325818	ingreso_positivo
treatment	0.15855311184451967	2014	0.16049417043761555	1.012242324168316	ingreso_positivo
treatment	0.15855311184451967	2015	0.16356068084629402	1.0315829121454574	ingreso_positivo
treatment	0.15855311184451967	2016	0.15498064720177357	0.9774683410424052	ingreso_positivo
treatment	0.15855311184451967	2017	0.16819120643295232	1.0607877983365217	ingreso_positivo
treatment	0.15855311184451967	2018	0.16874764979808798	1.0642973060255372	ingreso_positivo
treatment	0.15855311184451967	2019	0.15718152898384316	0.991349379115173	ingreso_positivo
control	0.22333089251014288	2012	0.2300073381068065	1.0298948592450567	tasa_positiva
control	0.22333089251014288	2013	0.2200007978273517	0.9850889653224311	tasa_positiva
control	0.22333089251014288	2014	0.22004628063628875	0.9852926219165808	tasa_positiva
control	0.22333089251014288	2015	0.22371058717726788	1.0017001439561604	tasa_positiva
control	0.22333089251014288	2016	0.22552172060696501	1.0098097852571948	tasa_positiva
control	0.22333089251014288	2017	0.2283540132639464	1.0224918312793443	tasa_positiva
control	0.22333089251014288	2018	0.23880878948242176	1.0693047737297514	tasa_positiva
control	0.22333089251014288	2019	0.2380281732274478	1.0658094388649677	tasa_positiva
treatment	0.22564321185912087	2012	0.2300000339197603	1.0193084561451802	tasa_positiva
treatment	0.22564321185912087	2013	0.21999993830354694	0.974990279968638	tasa_positiva
treatment	0.22564321185912087	2014	0.2199994243074942	0.9749880020536565	tasa_positiva
treatment	0.22564321185912087	2015	0.23354385724752005	1.0350138846336396	tasa_positiva
treatment	0.22564321185912087	2016	0.23787727244923385	1.0542186068409238	tasa_positiva
treatment	0.22564321185912087	2017	0.24110646933741142	1.068529681663745	tasa_positiva
treatment	0.22564321185912087	2018	0.2502901382911238	1.1092296383699374	tasa_positiva
treatment	0.22564321185912087	2019	0.2491753695906661	1.1042892340419148	tasa_positiva
