position	percentil	lag	tasa_media	anio
0.01	0	0	1.6175218715407507e-4	2012
0.02	0	0	1.6175218715407507e-4	2012
0.03	0	0	1.6175218715407507e-4	2012
0.04	0	0	1.6175218715407507e-4	2012
0.05	0	0	1.6175218715407507e-4	2012
0.06	0	0	1.6175218715407507e-4	2012
0.07	0	0	1.6175218715407507e-4	2012
0.08	0	0	1.6175218715407507e-4	2012
0.09	0	0	1.6175218715407507e-4	2012
0.1	0	0	1.6175218715407507e-4	2012
0.11	0	0	1.6175218715407507e-4	2012
0.12	0	0	1.6175218715407507e-4	2012
0.13	0	0	1.6175218715407507e-4	2012
0.14	0	0	1.6175218715407507e-4	2012
0.15	0	0	1.6175218715407507e-4	2012
0.16	0	0	1.6175218715407507e-4	2012
0.17	0	0	1.6175218715407507e-4	2012
0.18	0	0	1.6175218715407507e-4	2012
0.19	0	0	1.6175218715407507e-4	2012
0.2	0	0	1.6175218715407507e-4	2012
0.21	0	0	1.6175218715407507e-4	2012
0.22	0	0	1.6175218715407507e-4	2012
0.23	0	0	1.6175218715407507e-4	2012
0.24	0	0	1.6175218715407507e-4	2012
0.25	0	0	1.6175218715407507e-4	2012
0.26	0	0	1.6175218715407507e-4	2012
0.27	0	0	1.6175218715407507e-4	2012
0.28	0	0	1.6175218715407507e-4	2012
0.29	0	0	1.6175218715407507e-4	2012
0.3	0	0	1.6175218715407507e-4	2012
0.31	0	0	1.6175218715407507e-4	2012
0.32	0	0	1.6175218715407507e-4	2012
0.33	0	0	1.6175218715407507e-4	2012
0.34	0	0	1.6175218715407507e-4	2012
0.35000000000000003	0	0	1.6175218715407507e-4	2012
0.36	0	0	1.6175218715407507e-4	2012
0.37	0	0	1.6175218715407507e-4	2012
0.38	0	0	1.6175218715407507e-4	2012
0.39	0	0	1.6175218715407507e-4	2012
0.4	0	0	1.6175218715407507e-4	2012
0.41000000000000003	0	0	1.6175218715407507e-4	2012
0.42	0	0	1.6175218715407507e-4	2012
0.43	0	0	1.6175218715407507e-4	2012
0.44	0	0	1.6175218715407507e-4	2012
0.45	8.421500000000087	0	0.0017507854414442654	2012
0.46	100	8.421500000000087	0.06848098240292246	2012
0.47000000000000003	300	100	0.0609821370363783	2012
0.48	641.909599999998	300	0.05435754442495256	2012
0.49	1215.6569999999983	641.909599999998	0.07028709806875606	2012
0.5	2104.98	1215.6569999999983	0.08339808356746925	2012
0.51	3200.3422000000005	2104.98	0.08794989582059148	2012
0.52	4446.6936000000005	3200.3422000000005	0.09100729543085691	2012
0.53	5677.805700000006	4446.6936000000005	0.09201095671644366	2012
0.54	7287.114600000004	5677.805700000006	0.09449430429848128	2012
0.55	9200	7287.114600000004	0.10498161489203839	2012
0.56	11268.9244	9200	0.0999776828361375	2012
0.5700000000000001	13620.17550000003	11268.9244	0.10672360077219185	2012
0.58	16228.473199999988	13620.17550000003	0.10932215488754801	2012
0.59	19183.205400000003	16228.473199999988	0.11048783383195648	2012
0.6	22295.429999999997	19183.205400000003	0.10964548523657858	2012
0.61	25715.964100000012	22295.429999999997	0.11408076033016498	2012
0.62	29907.271599999967	25715.964100000012	0.11622607456746267	2012
0.63	34282.43000000004	29907.271599999967	0.11898314849229044	2012
0.64	39045.33159999999	34282.43000000004	0.12342267392401278	2012
0.65	44675.54	39045.33159999999	0.12690023112636611	2012
0.66	50201.524600000004	44675.54	0.12894018264511178	2012
0.67	56542.370600000024	50201.524600000004	0.13049027163421267	2012
0.68	63562.02160000001	56542.370600000024	0.14037822529706986	2012
0.6900000000000001	71279.64260000002	63562.02160000001	0.13592373797130802	2012
0.7000000000000001	80000	71279.64260000002	0.13931632714338446	2012
0.71	88992.95259999995	80000	0.14125365695208883	2012
0.72	99411.62759999998	88992.95259999995	0.14363412974449785	2012
0.73	110917.83219999999	99411.62759999998	0.1448317662179109	2012
0.74	123319.20379999997	110917.83219999999	0.14578655755846134	2012
0.75	137403.6125	123319.20379999997	0.14768831676003918	2012
0.76	153303.5892000001	137403.6125	0.15258048450446973	2012
0.77	171730.14120000004	153303.5892000001	0.1582385075848022	2012
0.78	191138.75100000034	171730.14120000004	0.15488360096443266	2012
0.79	213296.12930000006	191138.75100000034	0.16135165406269802	2012
0.8	238158.38800000004	213296.12930000006	0.1609203773103512	2012
0.81	266582.41560000024	238158.38800000004	0.15982350346985075	2012
0.8200000000000001	298935.35720000014	266582.41560000024	0.16546034776032098	2012
0.8300000000000001	335836.9073000007	298935.35720000014	0.1676239030859231	2012
0.84	378433.672	335836.9073000007	0.16986915677891193	2012
0.85	428372.552	378433.672	0.16925244013005322	2012
0.86	482813.7684000004	428372.552	0.17489562945282017	2012
0.87	549200.5357999997	482813.7684000004	0.17411174257008602	2012
0.88	626287.1836000001	549200.5357999997	0.17231323609763796	2012
0.89	717118.3989999997	626287.1836000001	0.1766572574770528	2012
0.9	840090.5990000012	717118.3989999997	0.17317425167694123	2012
0.91	982841.7112999998	840090.5990000012	0.175074601749735	2012
0.92	1168570.5004000003	982841.7112999998	0.1962220517163227	2012
0.93	1413652.712500001	1168570.5004000003	0.2000471950166873	2012
0.9400000000000001	1761905.480200002	1413652.712500001	0.19670497567394804	2012
0.9500000000000001	2222134.7770000007	1761905.480200002	0.2031155541683853	2012
0.96	2948642.7791999998	2222134.7770000007	0.20325041398655835	2012
0.97	4132117.3681999976	2948642.7791999998	0.19871099334684236	2012
0.98	6544585.727199981	4132117.3681999976	0.20111654287812195	2012
0.99	14344644.233599868	6544585.727199981	0.20419366279188741	2012
0.99	14344644.233599868	14344644.233599868	NA	2012
0.991	16124998.95117988	14344644.233599868	0.20458089029050758	2012
0.992	18559561.832319945	16124998.95117988	0.19552357811490478	2012
0.993	21938474.566769958	18559561.832319945	0.20461764743096042	2012
0.994	25364189.47563988	21938474.566769958	0.22962038290289818	2012
0.995	31819981.292649616	25364189.47563988	0.1925844873173436	2012
0.996	39015923.83015995	31819981.292649616	0.19511531912678465	2012
0.997	50898352.07823988	39015923.83015995	0.2028902233115998	2012
0.998	74734294.98037985	50898352.07823988	0.21699671416628832	2012
0.999	141152502.13589928	74734294.98037985	0.19239939066759584	2012
1	15711316355.28	141152502.13589928	0.2085682785308385	2012
