treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	1.2123977942574633	2012	1.3046055631554947	1.076054055306579
Control	1.2123977942574633	2013	1.2754784156653316	1.0520296405244636
Control	1.2123977942574633	2014	1.404868154158215	1.1587518228855165
Control	1.2123977942574633	2015	1.5838056680161943	1.3063415947454777
Control	1.2123977942574633	2016	2.3376313276026743	1.9281058895643766
Control	1.2123977942574633	2017	2.2877030162412995	1.886924429487609
Treatment	1.4046979865771811	2012	1.5051546391752577	1.0715147694080909
Treatment	1.4046979865771811	2013	1.5347368421052632	1.092574244976991
Treatment	1.4046979865771811	2014	1.5084745762711864	1.0738782219990768
Treatment	1.4046979865771811	2015	1.9168704156479217	1.3646139127163897
Treatment	1.4046979865771811	2016	2.26578073089701	1.6130020492291184
Treatment	1.4046979865771811	2017	2.413294797687861	1.7180168411633603
