treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.006888804490025	2012	11.087411205088646	1.0073156367824643
Control	11.006888804490025	2013	11.230562413787725	1.020321238205519
Control	11.006888804490025	2014	11.066394927933628	1.0054062618874944
Control	11.006888804490025	2015	11.281101111705539	1.0249127898070212
Control	11.006888804490025	2016	11.661771314443893	1.059497513019912
Control	11.006888804490025	2017	11.56771761929163	1.0509525284359034
Treatment	10.966412306150126	2012	10.740251646311727	0.9793769691012287
Treatment	10.966412306150126	2013	11.038367349480964	1.0065614023367044
Treatment	10.966412306150126	2014	11.482667317124617	1.0470760168925044
Treatment	10.966412306150126	2015	11.25538095478906	1.026350335968754
Treatment	10.966412306150126	2016	12.121789371782373	1.1053559754437006
Treatment	10.966412306150126	2017	12.013535231123742	1.095484548249784
