treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.330517505137626	2012	11.284647526544838	0.9959516431114475
Control	11.330517505137626	2013	11.52626734621502	1.0172763372007179
Control	11.330517505137626	2014	11.482329102623492	1.013398469877217
Control	11.330517505137626	2015	11.576641867804529	1.0217222525410072
Control	11.330517505137626	2016	12.070093108131669	1.0652728882558713
Control	11.330517505137626	2017	11.94118333461133	1.053895669742958
Treatment	11.124280540938319	2012	10.945689984006696	0.9839458780031307
Treatment	11.124280540938319	2013	11.049204228229582	0.9932511309443834
Treatment	11.124280540938319	2014	11.750476433414644	1.056290911593956
Treatment	11.124280540938319	2015	11.610706920800435	1.0437265473548627
Treatment	11.124280540938319	2016	12.56894129417632	1.1298655448252608
Treatment	11.124280540938319	2017	12.307179223151415	1.1063348481602857
