treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.228694526181128	2012	11.302461902195182	1.0065695416187568
Control	11.228694526181128	2013	11.522011753532244	1.0261221130085256
Control	11.228694526181128	2014	11.323279427103406	1.0084234993392813
Control	11.228694526181128	2015	11.400201198602923	1.0152739636849062
Control	11.228694526181128	2016	11.955967205070982	1.0647691213964476
Control	11.228694526181128	2017	11.803811305550404	1.0512184900950257
Treatment	11.168504898653083	2012	11.000602645441592	0.9849664521137704
Treatment	11.168504898653083	2013	11.247128826571752	1.0070397898941827
Treatment	11.168504898653083	2014	11.625482956289266	1.0409166725343242
Treatment	11.168504898653083	2015	11.43962791537679	1.0242756769311534
Treatment	11.168504898653083	2016	12.17523962558117	1.0901405099486055
Treatment	11.168504898653083	2017	12.154179038235938	1.0882547976230665
