treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.161141084524033	2012	12.65970913328834	1.0409968147971551
Control	12.161141084524033	2013	12.57714198577466	1.0342073904380584
Control	12.161141084524033	2014	12.54345560811366	1.0314373890519328
Control	12.161141084524033	2015	12.243695997978008	1.0067884183630624
Control	12.161141084524033	2016	12.276077923502854	1.0094511557903958
Control	12.161141084524033	2017	12.493325655891871	1.0273152469047964
Treatment	12.609733868166975	2012	13.378174824295584	1.0609402993086574
Treatment	12.609733868166975	2013	12.886782974794665	1.0219710510566042
Treatment	12.609733868166975	2014	13.402497931234652	1.0628692144779515
Treatment	12.609733868166975	2015	12.84061069698164	1.0183094132856767
Treatment	12.609733868166975	2016	12.521075117173835	0.9929690228263296
Treatment	12.609733868166975	2017	12.51041012727818	0.9921232484422581
