treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	12.366063640620037	2012	12.68394063100054	1.025705592306378
Control	12.366063640620037	2013	12.656739517055124	1.0235059340532806
Control	12.366063640620037	2014	12.788847941498535	1.0341890769096267
Control	12.366063640620037	2015	12.351852097636613	0.9988507625873165
Control	12.366063640620037	2016	12.439523363164339	1.0059404289577647
Control	12.366063640620037	2017	12.555041736832974	1.0152819928560113
Treatment	12.655826364422621	2012	13.277715079938318	1.0491385309507657
Treatment	12.655826364422621	2013	13.11097439576814	1.035963517374496
Treatment	12.655826364422621	2014	13.515412047905915	1.0679201546174586
Treatment	12.655826364422621	2015	12.933909878047947	1.0219727661883113
Treatment	12.655826364422621	2016	12.622402922544135	0.9973590470573739
Treatment	12.655826364422621	2017	12.451330560871744	0.9838417660244024
