treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.10674534924894709	2012	0.10108836737274338	0.9470048867139801
Control	0.10674534924894709	2013	0.1064842838344371	0.9975543157959871
Control	0.10674534924894709	2014	0.11698005098587996	1.0958796032702458
Control	0.10674534924894709	2015	0.2717882624911633	2.5461368050547097
Control	0.10674534924894709	2016	0.24946196408530716	2.3369820403465287
Control	0.10674534924894709	2017	0.26816619734567243	2.5122049741039896
Treatment	0.11923712682159407	2012	0.101447899950746	0.850807987872227
Treatment	0.11923712682159407	2013	0.10787916568925543	0.9047447599996875
Treatment	0.11923712682159407	2014	0.14427269566036463	1.2099645429751882
Treatment	0.11923712682159407	2015	0.26453745322711686	2.2185829219360946
Treatment	0.11923712682159407	2016	0.24200073361294172	2.0295753517696715
Treatment	0.11923712682159407	2017	0.2596546151919334	2.177632270361864
