treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	0.16829451892388478	2012	0.15396024285809393	0.9148262453379491
Control	0.16829451892388478	2013	0.1627845590357215	0.9672600158139715
Control	0.16829451892388478	2014	0.1693928035638105	1.0065259679694172
Control	0.16829451892388478	2015	0.43239514213710983	2.569276438127322
Control	0.16829451892388478	2016	0.42639648618155346	2.533632639423043
Control	0.16829451892388478	2017	0.4486854816479216	2.6660730516770443
Treatment	0.19319519262877946	2012	0.16330823337675954	0.8453017445964761
Treatment	0.19319519262877946	2013	0.17363028157962263	0.8987298245730658
Treatment	0.19319519262877946	2014	0.20370082119607066	1.0543783125467183
Treatment	0.19319519262877946	2015	0.4360756830910064	2.257176677935857
Treatment	0.19319519262877946	2016	0.4325351354846448	2.2388504061576318
Treatment	0.19319519262877946	2017	0.4299632246004565	2.2255379067667684
