treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	14.775265387157289	2012	15.408338817026914	1.0428468398557427
Control	14.775265387157289	2013	13.302454494951046	0.9003191581596622
Control	14.775265387157289	2014	12.61969303889494	0.8541093989326257
Control	14.775265387157289	2015	9.095775637723767	0.615608275004647
Control	14.775265387157289	2016	8.15262899161284	0.5517754692040343
Control	14.775265387157289	2017	13.136882024629564	0.8891131008752091
Treatment	7413.230772289721	2012	7490.274090478266	1.0103926777076102
Treatment	7413.230772289721	2013	7394.021395721014	0.997408771268728
Treatment	7413.230772289721	2014	7449.030328033346	1.0048291435736012
Treatment	7413.230772289721	2015	7444.326050411725	1.0041945649713533
Treatment	7413.230772289721	2016	7440.337800689561	1.0036565742025951
Treatment	7413.230772289721	2017	7517.87385266321	1.0141157187180303
