treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	10.81117085682923	2012	11.087996787210171	1.0256055457865672
Control	10.81117085682923	2013	11.14444615178631	1.0308269381152695
Control	10.81117085682923	2014	11.17156094202939	1.0333349726845273
Control	10.81117085682923	2015	11.340182902696448	1.0489319845993414
Control	10.81117085682923	2016	11.714517173021378	1.083556751452274
Control	10.81117085682923	2017	11.665882447285489	1.079058189142978
Treatment	10.733319706667565	2012	11.044012686485795	1.0289465876643202
Treatment	10.733319706667565	2013	11.019195639621001	1.0266344375054672
Treatment	10.733319706667565	2014	10.990290203892778	1.0239413810682991
Treatment	10.733319706667565	2015	11.541031893797873	1.0752527837802646
Treatment	10.733319706667565	2016	11.752339448566731	1.0949398480384545
Treatment	10.733319706667565	2017	11.888173197622615	1.1075951823402457
