treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.009621468035736	2012	11.29835642743215	1.0262256936112382
Control	11.009621468035736	2013	11.280224360579687	1.0245787644316013
Control	11.009621468035736	2014	11.295223613830492	1.025941141266659
Control	11.009621468035736	2015	11.389071196013454	1.0344652837592443
Control	11.009621468035736	2016	11.80564202543779	1.0723022639527746
Control	11.009621468035736	2017	11.863571239607028	1.0775639538607724
Treatment	10.881153697473298	2012	11.211106324950892	1.0303233128261218
Treatment	10.881153697473298	2013	11.130353846501315	1.022901996971689
Treatment	10.881153697473298	2014	11.089784843221775	1.0191736236385414
Treatment	10.881153697473298	2015	11.59672931292869	1.0657628442121496
Treatment	10.881153697473298	2016	11.794381011408237	1.083927434472964
Treatment	10.881153697473298	2017	12.005587239968568	1.1033377134224631
