treatment	mean_1214	anio_fiscal	mean_year	ratio
Control	11.02756291954906	2012	11.267905442980721	1.0217947088749406
Control	11.02756291954906	2013	11.358526476050182	1.0300123933924157
Control	11.02756291954906	2014	11.384152739870553	1.0323362308538135
Control	11.02756291954906	2015	11.520175638427023	1.044671041323617
Control	11.02756291954906	2016	11.908616111975265	1.0798955488945179
Control	11.02756291954906	2017	11.894634491737385	1.0786276694600605
Treatment	10.997168982152235	2012	11.312121088431066	1.028639380443274
Treatment	10.997168982152235	2013	11.285740897099451	1.026240563859258
Treatment	10.997168982152235	2014	11.354718035434601	1.0325128270614599
Treatment	10.997168982152235	2015	11.841964441390317	1.0768193578373795
Treatment	10.997168982152235	2016	11.986408626257466	1.0899540277784863
Treatment	10.997168982152235	2017	12.088233008135365	1.0992131727496288
